Re_true,Re_init,factor,Re_final,err_pct,log_ratio,elapsed_s
100,12.5,0.1250,107.0476,7.0476,-0.9031,209.9
100,25.0,0.2500,109.0900,9.0900,-0.6021,64.7
100,50.0,0.5000,113.8264,13.8264,-0.3010,67.5
100,200.0,2.0000,115.2852,15.2852,0.3010,78.1
100,400.0,4.0000,115.1614,15.1614,0.6021,90.1
100,800.0,8.0000,115.0350,15.0350,0.9031,81.4
200,25.0,0.1250,211.3921,5.6960,-0.9031,137.2
200,50.0,0.2500,241.0784,20.5392,-0.6021,88.6
200,100.0,0.5000,249.8201,24.9100,-0.3010,72.4
200,400.0,2.0000,250.2765,25.1383,0.3010,63.5
200,800.0,4.0000,249.9241,24.9621,0.6021,63.5
200,1600.0,8.0000,250.3944,25.1972,0.9031,63.8
400,50.0,0.1250,349.5972,12.6007,-0.9031,103.2
400,100.0,0.2500,417.0455,4.2614,-0.6021,64.2
400,200.0,0.5000,460.7973,15.1993,-0.3010,44.1
400,800.0,2.0000,356.6984,10.8254,0.3010,99.9
400,1600.0,4.0000,356.7927,10.8018,0.6021,101.8
400,3200.0,8.0000,357.2241,10.6940,0.9031,99.7
